나이,BM지수등급,성별,추천운동명
10대,3단계비만,남자,팔굽혀 펴기
10대,3단계비만,남자,윗몸올리기
10대,3단계비만,남자,전신 루틴 스트레칭
10대,3단계비만,남자,목 스트레칭
10대,3단계비만,남자,하지 루틴 스트레칭1
10대,3단계비만,남자,상지 루틴 스트레칭
10대,3단계비만,남자,수영
10대,3단계비만,여자,엉덩이 스트레칭2
10대,3단계비만,여자,등/어깨 뒤쪽 스트레칭
10대,3단계비만,여자,옆구리 스트레칭
10대,3단계비만,여자,목 스트레칭
10대,3단계비만,여자,넙다리 뒤쪽 스트레칭
10대,3단계비만,여자,밴드 걸고 앉아서 발등 굽힘
10대,3단계비만,여자,밴드 걸고 누워서 다리 들어올리기
10대,3단계비만,여자,몸통 들어올리기
10대,3단계비만,여자,밴드 걸고 옆으로 누워 다리 올리기
10대,3단계비만,여자,짐볼에서 윗몸 일으키기
10대,3단계비만,여자,수영
10대,3단계비만,여자,깍지 끼고 상체 숙이기
10대,3단계비만,여자,양팔 벌려 전신 비틀기
10대,저체중,남자,팔굽혀 펴기
10대,3단계비만,여자,어깨 스트레칭
10대,3단계비만,여자,팔꿈치 맞닿아 원그리기
10대,2단계비만,남자,넙다리 뒤쪽 스트레칭
10대,2단계비만,남자,하지 루틴 스트레칭1
10대,2단계비만,남자,하지 루틴 스트레칭2
10대,2단계비만,남자,트레드밀에서 걷기
10대,2단계비만,남자,누워서 전신 뻗기
10대,2단계비만,남자,서서 균형잡기
10대,2단계비만,남자,누워서 다리 좌우로 움직이기
10대,2단계비만,남자,줄넘기
10대,2단계비만,남자,팔굽혀 펴기
10대,2단계비만,남자,윗몸올리기
10대,2단계비만,남자,전신 루틴 스트레칭
10대,2단계비만,남자,목 스트레칭
10대,2단계비만,남자,상지 루틴 스트레칭
10대,2단계비만,남자,하지 루틴 스트레칭1
10대,2단계비만,남자,수영
10대,2단계비만,여자,목 스트레칭
10대,2단계비만,여자,등/어깨 뒤쪽 스트레칭
10대,2단계비만,여자,엉덩이 스트레칭2
10대,2단계비만,여자,옆구리 스트레칭
10대,2단계비만,여자,넙다리 뒤쪽 스트레칭
10대,2단계비만,여자,밴드 걸고 누워서 다리 들어올리기
10대,2단계비만,여자,몸통 들어올리기
10대,2단계비만,여자,짐볼에서 윗몸 일으키기
10대,2단계비만,여자,밴드 걸고 앉아서 발등 굽힘
10대,2단계비만,여자,밴드 걸고 옆으로 누워 다리 올리기
10대,2단계비만,여자,팔꿈치 맞닿아 원그리기
10대,2단계비만,여자,깍지 끼고 상체 숙이기
10대,2단계비만,여자,양팔 벌려 전신 비틀기
10대,2단계비만,여자,어깨 스트레칭
10대,1단계비만,남자,전신 루틴 스트레칭
10대,1단계비만,남자,하지 루틴 스트레칭2
10대,1단계비만,남자,누워서 전신 뻗기
10대,1단계비만,남자,트레드밀에서 걷기
10대,1단계비만,남자,하지 루틴 스트레칭1
10대,1단계비만,남자,뒤로 팔굽혀펴기
10대,1단계비만,남자,팔굽혀 펴기
10대,1단계비만,남자,줄넘기
10대,1단계비만,남자,윗몸올리기
10대,1단계비만,남자,엎드려 버티기
10대,1단계비만,남자,등/어깨 뒤쪽 스트레칭
10대,1단계비만,남자,유산소 운동 전 동적 루틴 스트레칭
10대,1단계비만,남자,수영
10대,1단계비만,남자,목 스트레칭
10대,1단계비만,남자,전신 루틴 스트레칭
10대,1단계비만,여자,옆구리 스트레칭
10대,1단계비만,여자,등/어깨 뒤쪽 스트레칭
10대,1단계비만,여자,목 스트레칭
10대,1단계비만,여자,엉덩이 스트레칭2
10대,1단계비만,여자,넙다리 뒤쪽 스트레칭
10대,1단계비만,여자,짐볼에서 윗몸 일으키기
10대,1단계비만,여자,밴드 걸고 누워서 다리 들어올리기
10대,1단계비만,여자,몸통 들어올리기
10대,1단계비만,여자,밴드 걸고 앉아서 발등 굽힘
10대,1단계비만,여자,의자 앞에서 앉았다 일어서기
10대,1단계비만,여자,깍지 끼고 상체 숙이기
10대,저체중,남자,윗몸올리기
10대,저체중,남자,바벨 끌어당기기
10대,저체중,남자,앉았다 일어서기
10대,저체중,남자,하지 루틴 스트레칭2
10대,저체중,남자,전신 루틴 스트레칭
10대,저체중,남자,상지 루틴 스트레칭
10대,저체중,남자,무릎굽혀 원 그리기
10대,저체중,남자,하지 루틴 스트레칭1
10대,2단계비만,여자,팔꿈치 맞닿아 원그리기
10대,2단계비만,여자,어깨 스트레칭
10대,2단계비만,여자,팔굽혀 펴기
10대,2단계비만,여자,버피 테스트
10대,2단계비만,여자,조깅
10대,2단계비만,여자,윗몸올리기
10대,2단계비만,여자,엎드려 버티기
10대,2단계비만,여자,하지 루틴 스트레칭2
10대,3단계비만,남자,몸통 비틀기
10대,3단계비만,남자,상지 루틴 스트레칭
10대,3단계비만,남자,누워서 엉덩이 들어올리기
10대,3단계비만,남자,막대 잡고 대각선으로 팔 들어올리기
10대,3단계비만,남자,짐볼 윗몸올리기
10대,3단계비만,남자,하지 루틴 스트레칭2
10대,3단계비만,남자,조깅
10대,3단계비만,남자,몸통 들어올리기
10대,3단계비만,남자,목봉잡고 앉았다 일어나기
10대,3단계비만,남자,밴드 잡고 누워서 다리 밀기
10대,3단계비만,남자,팔굽혀 펴기
10대,3단계비만,남자,아래 팔 스트레칭
10대,3단계비만,남자,무릎굽혀 원 그리기
10대,3단계비만,남자,목 돌리기
10대,3단계비만,남자,상지 루틴 스트레칭
10대,3단계비만,남자,하지 루틴 스트레칭1
10대,3단계비만,여자,옆구리 스트레칭
10대,3단계비만,여자,목 스트레칭
10대,3단계비만,여자,무릎굽혀 원 그리기
10대,3단계비만,여자,짐볼 앉기 평형성 운동 루틴 프로그램
10대,3단계비만,여자,하지 루틴 스트레칭2
10대,3단계비만,여자,엎드려 버티기
10대,3단계비만,여자,윗몸올리기
10대,3단계비만,여자,조깅
10대,3단계비만,여자,버피 테스트
10대,3단계비만,여자,팔굽혀 펴기
10대,3단계비만,여자,팔꿈치 맞닿아 원그리기
10대,3단계비만,여자,양팔 벌려 전신 비틀기
10대,3단계비만,여자,하지 루틴 스트레칭1
10대,3단계비만,여자,상지 루틴 스트레칭
10대,3단계비만,여자,목 스트레칭
10대,3단계비만,남자,목 스트레칭
10대,3단계비만,여자,조깅
10대,3단계비만,여자,엉덩이 스트레칭
10대,3단계비만,여자,목 스트레칭
10대,3단계비만,여자,전신 루틴 스트레칭
10대,3단계비만,여자,누워서 다리 들어올리기
10대,3단계비만,여자,엎드려서 팔 다리 들기
10대,3단계비만,여자,누워서 배가로근 수축 II
10대,3단계비만,여자,네발기기 자세로 팔 다리 들기
10대,3단계비만,여자,네발기기 자세에서 다리 위로 뻗어올리기
10대,3단계비만,여자,작은 공을 이용한 동적 루틴 스트레칭
10대,3단계비만,여자,가슴 어깨 펴기
10대,3단계비만,여자,폼롤러 이용 유연성운동 루틴 프로그램
10대,3단계비만,여자,옆구리늘리기
10대,3단계비만,여자,탄력밴드 어깨 가쪽 돌림
10대,3단계비만,여자,짐볼 앉아 한손 측면으로 들기
10대,3단계비만,여자,자전거타기
10대,3단계비만,여자,좌우 이동하며 팔굽혀펴기
10대,3단계비만,여자,골다공증을 위한 근력운동1
10대,3단계비만,여자,짐볼 앉기 평형성 운동 루틴 프로그램
10대,3단계비만,여자,뒤꿈치 들기
10대,3단계비만,여자,벽에서 팔굽혀 펴기
10대,3단계비만,여자,목봉잡고 앉았다 일어나기
10대,3단계비만,여자,밴드 잡고 누워서 다리 밀기
10대,3단계비만,여자,몸통 들어올리기
10대,3단계비만,여자,한발 연속 뛰기
10대,3단계비만,여자,팔꿈치 고정 후 벌리기
10대,3단계비만,여자,양팔 크게 벌리기
10대,3단계비만,여자,무릎 들어 연속 뛰기
10대,3단계비만,여자,다리굽혀 허리 비틀기
10대,2단계비만,남자,옆으로 누워 가슴 열기
10대,2단계비만,남자,사다리 이용 루틴 운동
10대,2단계비만,남자,상지 루틴 스트레칭
10대,2단계비만,남자,전신 루틴 스트레칭
10대,2단계비만,남자,하지 루틴 스트레칭2
10대,2단계비만,남자,줄넘기
10대,2단계비만,남자,앉았다 일어서기
10대,2단계비만,남자,엎드려 버티기
10대,2단계비만,남자,윗몸올리기
10대,2단계비만,남자,팔굽혀 펴기
10대,2단계비만,남자,등/어깨 뒤쪽 스트레칭
10대,2단계비만,남자,유산소 운동 전 동적 루틴 스트레칭
10대,2단계비만,남자,상지 루틴 스트레칭
10대,2단계비만,남자,하지 루틴 스트레칭1
10대,2단계비만,남자,목 스트레칭
10대,2단계비만,여자,엉덩이 스트레칭2
10대,2단계비만,여자,등/어깨 뒤쪽 스트레칭
10대,2단계비만,여자,무릎굽혀 원 그리기
10대,2단계비만,여자,짐볼 앉기 평형성 운동 루틴 프로그램
10대,2단계비만,남자,전신 루틴 스트레칭
10대,2단계비만,남자,달리기
10대,2단계비만,남자,한발 앞으로 내밀고 앉았다 일어서기
10대,2단계비만,남자,누워서 엉덩이 들어올리기
10대,2단계비만,남자,윗몸올리기
10대,2단계비만,남자,엎드려서 팔 다리 들기
10대,2단계비만,남자,폼롤러 이용 유연성운동 루틴 프로그램
10대,2단계비만,남자,가슴 어깨 펴기
10대,2단계비만,남자,옆구리늘리기
10대,2단계비만,남자,탄력밴드 어깨 가쪽 돌림
10대,2단계비만,남자,목 스트레칭
10대,2단계비만,남자,아쿠아로빅-발 닿기
10대,2단계비만,남자,앉았다 일어서면서 점프하기
10대,2단계비만,남자,밴드 걸고 앉아서 발등 굽힘
10대,2단계비만,남자,서서 팔꿈치 펴기
10대,2단계비만,남자,하지 루틴 스트레칭2
10대,2단계비만,남자,버피 테스트
10대,2단계비만,남자,몸통 들어올리기
10대,2단계비만,남자,밴드 잡고 누워서 다리 밀기
10대,2단계비만,남자,목봉잡고 앉았다 일어나기
10대,2단계비만,남자,팔굽혀 펴기
10대,2단계비만,남자,아래 팔 스트레칭
10대,2단계비만,남자,무릎굽혀 원 그리기
10대,2단계비만,남자,목 돌리기
10대,2단계비만,남자,하지 루틴 스트레칭1
10대,2단계비만,남자,상지 루틴 스트레칭
10대,2단계비만,여자,상지 루틴 스트레칭
10대,2단계비만,여자,하지 루틴 스트레칭1
10대,2단계비만,여자,목 스트레칭
10대,1단계비만,남자,자가근막이완술 루틴 스트레칭
10대,1단계비만,남자,전신 루틴 스트레칭
10대,1단계비만,남자,상지 루틴 스트레칭
10대,1단계비만,남자,하지 루틴 스트레칭1
10대,1단계비만,남자,하지 루틴 스트레칭2
10대,1단계비만,남자,달리기
10대,1단계비만,남자,앉았다 일어서기
10대,1단계비만,남자,팔굽혀 펴기
10대,1단계비만,남자,윗몸올리기
10대,1단계비만,남자,엎드려 버티기
10대,1단계비만,남자,하지 루틴 스트레칭1
10대,1단계비만,남자,등/어깨 뒤쪽 스트레칭
10대,1단계비만,남자,전신 루틴 스트레칭
10대,1단계비만,남자,유산소 운동 전 동적 루틴 스트레칭
10대,1단계비만,남자,목 스트레칭
10대,2단계비만,여자,짐볼 앉기 평형성 운동 루틴 프로그램
10대,2단계비만,여자,조깅
10대,2단계비만,여자,엉덩이 스트레칭
10대,2단계비만,여자,목 스트레칭
10대,2단계비만,여자,전신 루틴 스트레칭
10대,2단계비만,여자,누워서 다리 들어올리기
10대,2단계비만,여자,엎드려서 팔 다리 들기
10대,2단계비만,여자,네발기기 자세로 팔 다리 들기
10대,2단계비만,여자,네발기기 자세에서 다리 위로 뻗어올리기
10대,2단계비만,여자,누워서 배가로근 수축 II
10대,2단계비만,여자,작은 공을 이용한 동적 루틴 스트레칭
10대,2단계비만,여자,폼롤러 이용 유연성운동 루틴 프로그램
10대,2단계비만,여자,가슴 어깨 펴기
10대,2단계비만,여자,탄력밴드 어깨 가쪽 돌림
10대,2단계비만,여자,옆구리늘리기
10대,2단계비만,여자,엉덩이 스트레칭
10대,2단계비만,여자,벽에서 팔굽혀 펴기
10대,2단계비만,여자,목봉잡고 앉았다 일어나기
10대,2단계비만,여자,밴드 잡고 누워서 다리 밀기
10대,2단계비만,여자,몸통 들어올리기
10대,2단계비만,여자,사다리 걷기
10대,2단계비만,여자,성화봉송
10대,2단계비만,여자,양발 모아 좌우 뛰기
10대,2단계비만,여자,요가 및 필라테스  루틴프로그램
10대,2단계비만,여자,뛰어 밀기
10대,1단계비만,남자,의자에 앉아 볼 돌리기
10대,1단계비만,남자,공 잡고 들어올리기
10대,1단계비만,남자,하지 루틴 스트레칭1
10대,1단계비만,남자,전신 루틴 스트레칭
10대,2단계비만,여자,수영
10대,1단계비만,여자,짐볼 앉기 평형성 운동 루틴 프로그램
10대,1단계비만,여자,전신 루틴 스트레칭
10대,1단계비만,여자,자가근막이완술 루틴 스트레칭
10대,1단계비만,여자,무릎굽혀 원 그리기
10대,1단계비만,여자,하지 루틴 스트레칭2
10대,1단계비만,여자,버피 테스트
10대,1단계비만,여자,볼 튕기면서 스쿼트
10대,1단계비만,여자,윗몸올리기
10대,1단계비만,여자,팔굽혀 펴기
10대,1단계비만,여자,엎드려 버티기
10대,1단계비만,여자,등/어깨 뒤쪽 스트레칭
10대,1단계비만,여자,몸통 들어올리기
10대,1단계비만,여자,유산소 운동 전 동적 루틴 스트레칭
10대,1단계비만,여자,목 스트레칭
10대,1단계비만,여자,전신 루틴 스트레칭
10대,1단계비만,남자,목 스트레칭
10대,1단계비만,남자,엉덩이 스트레칭
10대,1단계비만,남자,상지 루틴 스트레칭
10대,1단계비만,남자,하지 루틴 스트레칭1
10대,1단계비만,남자,전신 루틴 스트레칭
10대,1단계비만,남자,누워서 엉덩이 들어올리기
10대,1단계비만,남자,턱걸이
10대,1단계비만,남자,달리기
10대,1단계비만,남자,엎드려 버티기
10대,1단계비만,남자,윗몸올리기
10대,1단계비만,남자,작은 공을 이용한 동적 루틴 스트레칭
10대,1단계비만,남자,짐볼을 이용한 동적 루틴 스트레칭
10대,1단계비만,남자,전신 루틴 스트레칭
10대,1단계비만,남자,유산소 운동 전 동적 루틴 스트레칭
10대,1단계비만,남자,목 스트레칭
10대,1단계비만,여자,조깅
10대,1단계비만,여자,자가근막이완술 루틴 스트레칭
10대,1단계비만,여자,엉덩이 스트레칭
10대,1단계비만,여자,목 스트레칭
10대,1단계비만,여자,전신 루틴 스트레칭
10대,1단계비만,여자,손목 펴기/굽히기
10대,1단계비만,여자,저항밴드 운동  루틴프로그램
10대,1단계비만,여자,무릎굽혀 원 그리기
10대,1단계비만,여자,짐볼 앉기 평형성 운동 루틴 프로그램
10대,1단계비만,여자,팔굽혀 펴기
10대,1단계비만,여자,벽에서 팔굽혀 펴기
10대,1단계비만,여자,목봉잡고 앉았다 일어나기
10대,1단계비만,여자,밴드 잡고 누워서 다리 밀기
10대,1단계비만,여자,몸통 들어올리기
10대,1단계비만,여자,크게 다리벌려 교차 뛰기
10대,1단계비만,여자,앞뒤 지그재그 뛰기
10대,1단계비만,여자,팔굽혀 펴기
10대,1단계비만,여자,바운딩 운동  루틴프로그램
10대,1단계비만,여자,짐볼 앉아 양손 측면으로 들기
10대,비만전단계비만,남자,무릎굽혀 원 그리기
10대,비만전단계비만,남자,상지 루틴 스트레칭
10대,비만전단계비만,남자,조깅
10대,비만전단계비만,남자,전신 루틴 스트레칭
10대,비만전단계비만,남자,하지 루틴 스트레칭2
10대,비만전단계비만,남자,달리기
10대,비만전단계비만,남자,앉았다 일어서기
10대,비만전단계비만,남자,윗몸올리기
10대,비만전단계비만,남자,팔굽혀 펴기
10대,비만전단계비만,남자,엎드려 버티기
10대,비만전단계비만,남자,상지 루틴 스트레칭
10대,비만전단계비만,남자,하지 루틴 스트레칭1
10대,비만전단계비만,남자,유산소 운동 전 동적 루틴 스트레칭
10대,비만전단계비만,남자,전신 루틴 스트레칭
10대,비만전단계비만,남자,목 스트레칭
10대,1단계비만,여자,작은 공을 이용한 동적 루틴 스트레칭
10대,1단계비만,여자,전신 루틴 스트레칭
10대,비만전단계비만,남자,상지 루틴 스트레칭
10대,비만전단계비만,남자,목 스트레칭
10대,비만전단계비만,남자,엉덩이 스트레칭
10대,비만전단계비만,남자,전신 루틴 스트레칭
10대,비만전단계비만,남자,조깅
10대,비만전단계비만,남자,하지 루틴 스트레칭1
10대,비만전단계비만,남자,전신 루틴 스트레칭
10대,비만전단계비만,남자,넙다리 뒤쪽 스트레칭
10대,비만전단계비만,남자,엉덩이 스트레칭
10대,비만전단계비만,남자,등/어깨 뒤쪽 스트레칭
10대,비만전단계비만,남자,옆구리늘리기
10대,비만전단계비만,남자,탄력밴드 어깨 가쪽 돌림
10대,비만전단계비만,남자,전신 루틴 스트레칭
10대,비만전단계비만,남자,허리 스트레칭
10대,비만전단계비만,남자,목 스트레칭
10대,비만전단계비만,남자,사다리 옆으로 발 옮기기
10대,비만전단계비만,남자,전신 루틴 스트레칭
10대,비만전단계비만,남자,무릎굽혀 원 그리기
10대,비만전단계비만,남자,조깅
10대,비만전단계비만,남자,하지 루틴 스트레칭2
10대,비만전단계비만,남자,윗몸올리기
10대,비만전단계비만,남자,몸통 들어올리기
10대,비만전단계비만,남자,목봉잡고 앉았다 일어나기
10대,비만전단계비만,남자,밴드 잡고 누워서 다리 밀기
10대,비만전단계비만,남자,팔굽혀 펴기
10대,비만전단계비만,남자,무릎굽혀 원 그리기
10대,비만전단계비만,남자,목 돌리기
10대,비만전단계비만,남자,상지 루틴 스트레칭
10대,비만전단계비만,남자,하지 루틴 스트레칭1
10대,비만전단계비만,남자,목 스트레칭
10대,비만전단계비만,여자,짐볼 앉기 평형성 운동 루틴 프로그램
10대,비만전단계비만,여자,조깅
10대,비만전단계비만,여자,자가근막이완술 루틴 스트레칭
10대,비만전단계비만,여자,하지 루틴 스트레칭2
10대,비만전단계비만,여자,무릎굽혀 원 그리기
10대,비만전단계비만,여자,엎드려 버티기
10대,비만전단계비만,여자,계단 올라갔다 내려오기
10대,비만전단계비만,여자,계단 뛰어 오르기
10대,비만전단계비만,여자,볼 튕기면서 스쿼트
10대,비만전단계비만,여자,팔굽혀 펴기
10대,비만전단계비만,여자,상지 루틴 스트레칭
10대,비만전단계비만,여자,허리 스트레칭
10대,비만전단계비만,여자,몸통 들어올리기
10대,비만전단계비만,여자,전신 루틴 스트레칭
10대,비만전단계비만,여자,목 스트레칭
10대,비만전단계비만,여자,하지 루틴 스트레칭1
10대,비만전단계비만,여자,넙다리 뒤쪽 스트레칭
10대,비만전단계비만,여자,등/어깨 뒤쪽 스트레칭
10대,비만전단계비만,여자,엉덩이 스트레칭
10대,비만전단계비만,여자,옆구리늘리기
10대,비만전단계비만,여자,탄력밴드 어깨 가쪽 돌림
10대,비만전단계비만,여자,전신 루틴 스트레칭
10대,비만전단계비만,여자,목 스트레칭
10대,비만전단계비만,여자,허리 스트레칭
10대,비만전단계비만,여자,전신 비틀며 전진하기
10대,비만전단계비만,여자,유소년테스트
10대,비만전단계비만,여자,박스 운동  루틴프로그램
10대,비만전단계비만,여자,무릎굽혀 원 그리기
10대,비만전단계비만,여자,짐볼 앉기 평형성 운동 루틴 프로그램
10대,비만전단계비만,여자,벽에서 팔굽혀 펴기
10대,비만전단계비만,여자,목봉잡고 앉았다 일어나기
10대,비만전단계비만,여자,밴드 잡고 누워서 다리 밀기
10대,비만전단계비만,여자,볼 튕기면서 스쿼트
10대,비만전단계비만,여자,몸통 들어올리기
10대,비만전단계비만,여자,전신 비틀며 전진하기
10대,비만전단계비만,여자,허리숙여 양팔 돌리기
10대,비만전단계비만,여자,골다공증을 위한 심폐지구력 운동
10대,비만전단계비만,여자,바로서서 상체 숙이기
10대,비만전단계비만,여자,몸통 들어올리기
10대,비만전단계비만,남자,수영
10대,저체중,남자,전신 루틴 스트레칭
10대,저체중,남자,등/어깨 뒤쪽 스트레칭
10대,저체중,남자,목 스트레칭
10대,저체중,여자,목 스트레칭
10대,저체중,여자,전신 루틴 스트레칭
10대,저체중,여자,짐볼 앉기 평형성 운동 루틴 프로그램
10대,저체중,여자,무릎굽혀 원 그리기
10대,저체중,여자,하지 루틴 스트레칭2
10대,저체중,여자,바벨 끌어당기기
10대,저체중,여자,한발 앞으로 내밀고 앉았다 일어서기
10대,저체중,여자,앉았다 일어서기
10대,저체중,여자,볼 튕기면서 스쿼트
10대,저체중,여자,팔굽혀 펴기
10대,저체중,여자,트레드밀에서 걷기
10대,저체중,여자,가슴/어깨 앞쪽 스트레칭
10대,저체중,여자,몸통 들어올리기
10대,저체중,여자,전신 루틴 스트레칭
10대,저체중,여자,목 스트레칭
10대,저체중,남자,상지 루틴 스트레칭
10대,저체중,남자,조깅
10대,저체중,남자,목 스트레칭
10대,저체중,남자,엉덩이 스트레칭
10대,저체중,남자,전신 루틴 스트레칭
10대,저체중,남자,엎드려서 팔 다리 들기
10대,저체중,남자,한발 앞으로 내밀고 앉았다 일어서기
10대,저체중,남자,누워서 엉덩이 들어올리기
10대,저체중,남자,달리기
10대,저체중,남자,윗몸올리기
10대,저체중,남자,가슴 어깨 펴기
10대,저체중,남자,옆구리늘리기
10대,저체중,남자,탄력밴드 어깨 가쪽 돌림
10대,저체중,남자,전신 루틴 스트레칭
10대,저체중,남자,목 스트레칭
10대,저체중,남자,한발 앞으로 내밀고 앉았다 일어서기
10대,저체중,남자,바벨 끌어당기기
10대,저체중,남자,서서 바벨 위로 밀기
10대,저체중,남자,바벨들어올리기
10대,저체중,남자,팔굽혀 펴기
10대,저체중,남자,하지 루틴 스트레칭1
10대,저체중,남자,목 스트레칭
10대,저체중,남자,등/어깨 뒤쪽 스트레칭
10대,저체중,남자,트레드밀에서 걷기
10대,저체중,남자,가슴/어깨 앞쪽 스트레칭
10대,저체중,여자,옆으로 팔 벌리며 점프하기
10대,저체중,여자,요가 및 필라테스  루틴프로그램
10대,저체중,여자,허리숙여 양팔 돌리기
10대,저체중,여자,무릎굽혀 원 그리기
10대,정상,남자,자가근막이완술 루틴 스트레칭
10대,정상,남자,하지 루틴 스트레칭1
10대,정상,남자,상지 루틴 스트레칭
10대,정상,남자,전신 루틴 스트레칭
10대,정상,남자,하지 루틴 스트레칭2
10대,정상,남자,달리기
10대,정상,남자,윗몸올리기
10대,정상,남자,팔굽혀 펴기
10대,정상,남자,앉았다 일어서기
10대,정상,남자,엎드려 버티기
10대,정상,남자,하지 루틴 스트레칭1
10대,정상,남자,상지 루틴 스트레칭
10대,정상,남자,전신 루틴 스트레칭
10대,정상,남자,유산소 운동 전 동적 루틴 스트레칭
10대,정상,남자,목 스트레칭
10대,저체중,여자,무릎굽혀 원 그리기
10대,저체중,여자,조깅
10대,저체중,여자,목 스트레칭
10대,저체중,여자,엉덩이 스트레칭
10대,저체중,여자,전신 루틴 스트레칭
10대,저체중,여자,엉덩이 스트레칭
10대,저체중,여자,넙다리 뒤쪽 스트레칭
10대,저체중,여자,누워서 배가로근 수축 II
10대,저체중,여자,네발기기 자세에서 다리 위로 뻗어올리기
10대,저체중,여자,네발기기 자세로 팔 다리 들기
10대,저체중,여자,가슴 어깨 펴기
10대,저체중,여자,탄력밴드 어깨 가쪽 돌림
10대,저체중,여자,옆구리늘리기
10대,저체중,여자,전신 루틴 스트레칭
10대,저체중,여자,목 스트레칭
10대,정상,남자,목 스트레칭
10대,정상,남자,조깅
10대,정상,남자,상지 루틴 스트레칭
10대,정상,남자,하지 루틴 스트레칭2
10대,정상,남자,전신 루틴 스트레칭
10대,정상,남자,누워서 엉덩이 들어올리기
10대,정상,남자,윗몸올리기
10대,정상,남자,앉았다 일어서기
10대,정상,남자,엎드려 버티기
